DriverID,FirstName,LastName,Phone,LicenseNumber,LicenseType,HireDate
21,Alon,Friedman,0510000021,100021,D,2021-03-27
22,Alon,Cohen,0510000022,100022,C,2022-09-14
23,Yossi,Goldberg,0510000023,100023,C,2023-03-01
24,Bar,Friedman,0510000024,100024,C,2023-04-22
25,Or,Katz,0510000025,100025,B,2020-01-18
26,Amit,Zohar,0510000026,100026,C,2023-07-31
27,Eden,Mor,0510000027,100027,C,2024-01-01
28,Yuval,Azoulay,0510000028,100028,D,2020-02-18
29,Shai,Katz,0510000029,100029,B,2023-03-03
30,Bar,Friedman,0510000030,100030,B,2021-07-19
31,Shai,Sharabi,0510000031,100031,D,2021-11-20
32,Tom,Cohen,0510000032,100032,B,2023-12-29
33,Gil,Cohen,0510000033,100033,C,2023-07-22
34,Alon,Katz,0510000034,100034,D,2022-01-20
35,Itai,Sharabi,0510000035,100035,B,2020-05-25
36,Ido,Katz,0510000036,100036,C,2021-05-28
37,Alon,Avraham,0510000037,100037,C,2022-12-20
38,Nadav,BenDavid,0510000038,100038,B,2021-03-09
39,Amit,Avraham,0510000039,100039,D,2022-05-17
40,Gil,Azoulay,0510000040,100040,D,2023-04-20
41,Roi,Haimovich,0510000041,100041,B,2020-12-19
42,Nadav,Peretz,0510000042,100042,B,2022-01-03
43,Omer,Azoulay,0510000043,100043,C,2022-05-05
44,Nadav,Haimovich,0510000044,100044,C,2022-01-19
45,Bar,Biton,0510000045,100045,C,2023-01-15
46,Tom,Mizrahi,0510000046,100046,D,2022-07-23
47,Dan,BenDavid,0510000047,100047,D,2020-01-31
48,Eyal,Mor,0510000048,100048,D,2020-12-01
49,Ido,Harel,0510000049,100049,C,2021-04-09
50,Eden,Malka,0510000050,100050,B,2022-01-14
51,Yossi,Friedman,0510000051,100051,C,2023-02-17
52,Eden,Sharabi,0510000052,100052,B,2021-02-09
53,Shai,Malka,0510000053,100053,B,2020-07-31
54,Noam,BenDavid,0510000054,100054,B,2022-01-16
55,Eden,Malka,0510000055,100055,B,2020-06-25
56,Lior,Mizrahi,0510000056,100056,C,2023-11-24
57,Tal,Avraham,0510000057,100057,D,2021-11-02
58,Yuval,Friedman,0510000058,100058,C,2021-02-23
59,Noam,Peretz,0510000059,100059,D,2023-06-29
60,Itai,Haimovich,0510000060,100060,B,2020-01-22
61,Eden,Shalom,0510000061,100061,C,2022-01-25
62,Or,Goldberg,0510000062,100062,C,2022-06-27
63,Amit,Amar,0510000063,100063,D,2021-08-06
64,Dan,Friedman,0510000064,100064,B,2023-12-30
65,Omer,Biton,0510000065,100065,B,2023-07-14
66,Omer,Peretz,0510000066,100066,B,2023-08-30
67,Dan,Avraham,0510000067,100067,D,2023-03-03
68,Shai,Azoulay,0510000068,100068,B,2020-03-12
69,Shai,Mizrahi,0510000069,100069,D,2022-04-05
70,Yuval,Peretz,0510000070,100070,C,2021-01-28
71,Alon,Goldberg,0510000071,100071,D,2020-04-19
72,Eyal,Cohen,0510000072,100072,D,2022-02-24
73,Yossi,Avraham,0510000073,100073,C,2022-10-16
74,Lior,Shalom,0510000074,100074,D,2020-04-03
75,Shai,BenDavid,0510000075,100075,B,2022-07-03
76,Dan,Peretz,0510000076,100076,D,2023-07-25
77,Eyal,Peretz,0510000077,100077,C,2023-03-03
78,Omer,Shalom,0510000078,100078,B,2021-10-03
79,Amit,Mizrahi,0510000079,100079,C,2023-05-15
80,Lior,Sharabi,0510000080,100080,C,2023-12-27
81,Itai,BenDavid,0510000081,100081,B,2020-02-20
82,Eyal,Azoulay,0510000082,100082,C,2023-01-26
83,Nadav,Mor,0510000083,100083,B,2023-01-20
84,Alon,Azoulay,0510000084,100084,C,2020-09-16
85,Yossi,Peretz,0510000085,100085,C,2021-11-17
86,Yuval,Katz,0510000086,100086,C,2022-06-13
87,Yuval,Levi,0510000087,100087,C,2022-01-11
88,Alon,Sharabi,0510000088,100088,D,2020-10-18
89,Or,Mor,0510000089,100089,C,2022-01-25
90,Lior,Azoulay,0510000090,100090,C,2020-01-24
91,Eyal,Harel,0510000091,100091,B,2022-10-25
92,Eyal,Mor,0510000092,100092,D,2020-04-13
93,Eyal,Levy,0510000093,100093,C,2022-11-12
94,Omer,Sharabi,0510000094,100094,D,2020-08-26
95,Nadav,Biton,0510000095,100095,B,2023-03-30
96,Amit,Avraham,0510000096,100096,D,2020-09-24
97,Yuval,Haimovich,0510000097,100097,B,2023-02-17
98,Yossi,Goldberg,0510000098,100098,D,2023-11-04
99,Eyal,Mizrahi,0510000099,100099,B,2020-07-20
100,Bar,Goldberg,0510000100,100100,B,2023-04-09
101,Yossi,Mizrahi,0510000101,100101,B,2020-05-24
102,Eden,Avraham,0510000102,100102,C,2023-12-03
103,Lior,Katz,0510000103,100103,C,2021-10-09
104,Bar,Levy,0510000104,100104,B,2021-02-08
105,Itai,Biton,0510000105,100105,B,2023-04-12
106,Amit,Friedman,0510000106,100106,D,2023-07-08
107,Eyal,Sharabi,0510000107,100107,C,2022-07-05
108,Amit,Peretz,0510000108,100108,C,2020-10-14
109,Tom,Goldberg,0510000109,100109,C,2022-07-28
110,Dan,Sharabi,0510000110,100110,B,2021-11-04
111,Omer,Amar,0510000111,100111,D,2021-09-11
112,Alon,Avraham,0510000112,100112,C,2021-03-06
113,Itai,Biton,0510000113,100113,D,2023-10-10
114,Tal,Malka,0510000114,100114,D,2023-02-24
115,Yossi,Levy,0510000115,100115,D,2021-11-09
116,Yossi,Goldberg,0510000116,100116,D,2020-11-11
117,Nadav,Shalom,0510000117,100117,C,2020-08-07
118,Nadav,Cohen,0510000118,100118,B,2023-04-25
119,Amit,Mor,0510000119,100119,B,2020-09-09
120,Eyal,Avraham,0510000120,100120,B,2021-01-27
121,Noam,Levy,0510000121,100121,C,2020-11-03
122,Yossi,Mizrahi,0510000122,100122,D,2020-02-18
123,Dan,Cohen,0510000123,100123,C,2020-05-01
124,Bar,Goldberg,0510000124,100124,C,2020-12-17
125,Itai,Amar,0510000125,100125,C,2021-08-13
126,Itai,Biton,0510000126,100126,D,2022-07-22
127,Alon,Peretz,0510000127,100127,B,2022-04-21
128,Amit,Shalom,0510000128,100128,B,2021-06-18
129,Alon,Shalom,0510000129,100129,C,2021-11-19
130,Eden,Azoulay,0510000130,100130,C,2020-03-14
131,Yossi,Friedman,0510000131,100131,D,2021-09-19
132,Lior,Goldberg,0510000132,100132,C,2021-03-07
133,Shai,Harel,0510000133,100133,B,2020-05-26
134,Dan,Zohar,0510000134,100134,C,2022-01-07
135,Yossi,Levi,0510000135,100135,B,2023-03-10
136,Gil,Sharabi,0510000136,100136,D,2021-02-05
137,Gil,Avraham,0510000137,100137,C,2020-11-22
138,Itai,Malka,0510000138,100138,D,2020-04-29
139,Noam,Avraham,0510000139,100139,C,2020-06-02
140,Amit,Friedman,0510000140,100140,C,2023-05-12
141,Shai,Sharabi,0510000141,100141,B,2020-02-12
142,Bar,Harel,0510000142,100142,B,2021-05-12
143,Ido,Levi,0510000143,100143,D,2022-02-03
144,Yuval,Levy,0510000144,100144,B,2021-02-26
145,Ido,Mor,0510000145,100145,C,2022-09-15
146,Yuval,Levi,0510000146,100146,B,2022-04-09
147,Yuval,Sharabi,0510000147,100147,C,2021-01-02
148,Roi,Azoulay,0510000148,100148,C,2022-07-25
149,Itai,Sharabi,0510000149,100149,D,2020-11-18
150,Tal,Azoulay,0510000150,100150,D,2023-11-11
151,Noam,BenDavid,0510000151,100151,C,2022-08-30
152,Roi,Mor,0510000152,100152,B,2020-08-29
153,Dan,Biton,0510000153,100153,B,2020-10-30
154,Gil,Avraham,0510000154,100154,D,2020-02-06
155,Ido,Levy,0510000155,100155,C,2021-05-17
156,Noam,Shalom,0510000156,100156,B,2020-03-03
157,Eyal,Mor,0510000157,100157,D,2021-04-29
158,Or,Mizrahi,0510000158,100158,C,2023-01-17
159,Or,Cohen,0510000159,100159,D,2021-09-22
160,Eden,Goldberg,0510000160,100160,D,2022-10-31
161,Ido,Amar,0510000161,100161,B,2021-02-15
162,Ido,Sharabi,0510000162,100162,D,2023-04-12
163,Amit,Katz,0510000163,100163,D,2021-02-25
164,Yuval,Zohar,0510000164,100164,C,2021-01-15
165,Shai,Mor,0510000165,100165,B,2023-08-26
166,Gil,Azoulay,0510000166,100166,C,2023-11-02
167,Yossi,Mor,0510000167,100167,D,2022-02-21
168,Gil,BenDavid,0510000168,100168,B,2023-01-12
169,Itai,Goldberg,0510000169,100169,C,2021-12-31
170,Eyal,Avraham,0510000170,100170,B,2020-08-05
171,Amit,Malka,0510000171,100171,C,2023-05-26
172,Bar,Amar,0510000172,100172,C,2023-03-06
173,Tom,Katz,0510000173,100173,C,2021-10-25
174,Ido,Zohar,0510000174,100174,D,2021-02-11
175,Tom,Mizrahi,0510000175,100175,C,2020-01-21
176,Alon,Haimovich,0510000176,100176,B,2023-02-20
177,Itai,Avraham,0510000177,100177,B,2023-05-28
